S.NO,Hospital,State,City,LocalAddress,Pincode
411,Aravind Eye Hospital (Salem),Tamilnadu,Salem,"64, Sankagiri Main Road, Nethimedu, Salem, Tamilnadu-636002, Opposite To Kaliamman Temple",636002
412,Aravind Eye Hospital - Coimbatore,Tamilnadu,Coimbatore,"Avanashi Road, Coimbatore-641014Teelametu",641014
413,Aravind Eye Hospital - Pondicherry,Tamilnadu,Pondicherry,"Cuddalore Main Road,Abishekapakkam Post,Thavalakuppam, Pondicherry-605007Thavalakuppam",605007
414,Aravind Eye Hospital - Theni,Tamilnadu,Theni,"371,Periakulam Road,Allinagaram",625531
415,Aravind Eye Hospital - Tirunelveli,Tamilnadu,Tirunelveli,# 1. S.N. High Road,627001
417,Aravind Eye Hospital- Madhurai,Tamilnadu,Madurai,"1- Anna Nagar, Madurai-625020Madhurai",625020
418,Aravind Eye Hospital-Tirupur,Tamilnadu,Tirupur,"Dharapuram Main Road, K. Chettipalayam, Tirupur, Tamilnadu",641608
421,Aravind Sai Eye Hospital,Tamilnadu,Chennai,"# 1, Ganesan Street,Pammal Main Road Krishna Nagar",600075
433,Ark Nursing Home,Tamilnadu,Krishnagiri,"29-A, 4Th Cross,Co Operative Colony Near Employment Officeco-Ops Colony",635001
439,Arokya Hospital,Tamilnadu,Chennai,"#32, Pillayar Koil Street",600078
447,Arthur Astrvatham Hospital,Tamilnadu,Madurai,"No.42-A,Kuruvikaran Salai,",625020
448,Arul Hospital,Tamilnadu,Trichy,"#6A,T.V.K.Nagar,Puthur",620017
449,Arul Mission Hospital,Tamilnadu,Tirunelveli,"7A1 & 2,North Main Road,Vallioor",627117
451,Arun Hospital,Tamilnadu,Madurai,"#186,Munichalai Road,",625009
452,Arun Hospital (Pollachi),Tamilnadu,Pollachi,"49/84, New Scheme Roadpollachi Coimbatore",642002
453,Arun Hospital (Theni),Tamilnadu,Theni,"51, Uthamapalayam Road,Bus Stand Bodinayakanur",625513
458,Arunn Surgery,Tamilnadu,Coimbatore,"Dr.Nanjappa Road,",641018
462,Arunpriya Nursing Home,Tamilnadu,Nagapattanam,"3&4, Pattamangalam Street,Nagapattinam",609001
465,Arvinth Hospital,Tamilnadu,Namakkal,"# 17, Rangar Sannathi Street,Namakkal- 637001",637001
498,Ashok Hosptial,Tamilnadu,Hosur,"#10-A, 1St Cross, Old Banfalore Road, Hosur,",635109
507,Ashveny Clinic,Tamilnadu,Sivakasi,"1/6, Periyakaruppan Road,Sivakasi-626189",626189
511,Ashwin Hospital,Tamilnadu,Erode,"#212/545,Skc Road,Surampatti Nall Road,",638001
512,Ashwin Hospitals,Tamilnadu,Coimbatore,"#1, Alamu Nagar Road,Coimbatore-641012.",641012
536,Assured Best Care Hospital,Tamilnadu,Trichy,"#1, Annamalai Nagar Main Road Thillai Nagarannamalai Nagar",620018
539,Aswene Soundra Hospital & Research Centre,Tamilnadu,Chennai,"# 24,Kasturi Rangan Road,Teynampet",600018
548,Athipathi Hospital And Research Center,Tamilnadu,Chennai,"Plot No 1,100 Ft Rd,Tanni Nagar,Velachary",600042
550,Atlas Hospitals,Tamilnadu,Tiruchirapalli,"34/1-First Cross, V.N. Nagar, Near Chathiram Bus Stand, Tiruchirapalli-620002",620002
571,Avm Medical Ent Research Fundation,Tamilnadu,Chennai,"3, P.S.S. Road,Mylapore",600004
572,Avss Hospitals,Tamilnadu,Madurai,"# 32A, Kuruvikkaran Salai, Madurai-625009",625009
577,Aysha Hospital,Tamilnadu,Chennai,"91A Millers Road, Kilpauk",600010
590,B M Hospitals,Tamilnadu,Chennai,"36, 5Th Main Road,Thillai Ganga Nagarcheenai",600061
592,B.B Hospital,Tamilnadu,Chennai,"No.52,Dayalu Nagar,Kolathur,Near Villirakham Railway Station,",600099
593,B.G Hospital,Tamilnadu,Tiruchendur,"1/143-B,Tuticorin Road,Veerapandianpatnam, Tiruchendur",628216
602,B.M.Orthopaedic Hospital,Tamilnadu,Chennai,"No.3/157, Mth Road, Ambattur,Chennai - 53",600053
604,B.M.Silver Jubilee Multi Speciality Hospital,Tamilnadu,Kanchipuram,"41, Dharga Road, Pallavaram, Kancheepuram, Chennai-600043",600043
607,B.P.Jain Hospital,Tamilnadu,Kanchipuram,"Plot No.6,Gokulam Colony,Anna Salai,Pammal,Kanchipuram",600075
608,B.R. Hospital,Tamilnadu,Thiruvallur,"10&12, Alamaram Street, Tiruttani.",631209
610,B.S. Hospital,Tamilnadu,Chennai,"# 16, 3Rd Main Road,Chitlapakkam,",600064
611,B.S.S. Hospital,Tamilnadu,Chennai,"New No 200, Old # 179/1, R.K. Mutt Road, Mandaveli,",600028
